Rules with Confidence < 15 %
"(3, 5, 2)"
"(3, 5, 4)"
"(3, 5, 12)"
"(3, 6, 2)"
"(3, 6, 4)"
"(3, 6, 5)"
"(3, 6, 7)"
"(3, 6, 8)"
"(3, 6, 9)"
"(3, 6, 10)"
"(3, 6, 12)"
"(3, 7, 1)"
"(3, 7, 2)"
"(3, 7, 4)"
"(3, 7, 5)"
"(3, 7, 6)"
"(3, 8, 1)"
"(3, 8, 3)"
"(4, 6, 1)"
"(4, 6, 3)"
"(4, 6, 4)"
"(4, 6, 5)"
"(4, 6, 6)"
"(4, 6, 9)"
"(4, 6, 11)"
"(4, 7, 5)"
"(4, 7, 12)"
"(4, 8, 4)"
"(4, 8, 7)"
"(4, 8, 9)"
"(4, 8, 10)"
"(4, 8, 13)"
"(4, 9, 2)"
"(4, 9, 5)"
"(4, 9, 8)"
"(4, 10, 3)"
"(4, 10, 5)"
"(4, 10, 13)"
"(4, 11, 2)"
"(4, 11, 6)"
"(5, 5, 0)"
"(5, 5, 4)"
"(5, 5, 5)"
"(5, 5, 7)"
"(5, 5, 8)"
"(5, 5, 9)"
"(5, 6, 0)"
"(5, 6, 3)"
"(5, 6, 5)"
"(5, 6, 6)"
"(5, 6, 9)"
"(5, 7, 2)"
"(5, 7, 5)"
"(5, 7, 11)"
"(5, 8, 1)"
"(5, 8, 6)"
"(5, 8, 9)"
"(5, 9, 1)"
"(5, 9, 3)"
"(5, 9, 5)"
"(5, 9, 6)"
"(5, 9, 9)"
"(5, 9, 10)"
"(5, 9, 11)"
"(5, 9, 12)"
"(5, 10, 1)"
"(5, 10, 3)"
"(5, 10, 6)"
"(5, 10, 8)"
"(5, 10, 10)"
"(6, 6, 1)"
"(6, 6, 3)"
"(6, 6, 4)"
"(6, 6, 7)"
"(6, 6, 8)"
"(6, 7, 3)"
"(6, 7, 4)"
"(6, 7, 6)"
"(6, 7, 7)"
"(6, 7, 9)"
"(6, 7, 11)"
"(6, 8, 5)"
"(6, 8, 6)"
"(6, 8, 12)"
"(6, 10, 1)"
"(6, 10, 8)"
"(6, 11, 2)"
"(6, 11, 3)"
"(6, 11, 5)"
"(6, 11, 6)"
"(6, 11, 7)"
"(6, 11, 9)"
"(6, 11, 13)"
"(7, 7, 2)"
"(7, 7, 3)"
"(7, 7, 7)"
"(7, 7, 12)"
"(7, 8, 2)"
"(7, 8, 3)"
"(7, 8, 5)"
"(7, 8, 7)"
"(7, 8, 10)"
"(7, 8, 11)"
"(7, 9, 0)"
"(7, 9, 1)"
"(7, 9, 2)"
"(7, 9, 3)"
"(7, 9, 5)"
"(7, 9, 6)"
"(7, 10, 4)"
"(7, 10, 5)"
"(7, 10, 10)"
"(7, 10, 16)"
"(8, 8, 2)"
"(8, 9, 0)"
"(8, 9, 2)"
"(8, 9, 3)"
"(8, 9, 7)"
"(8, 9, 8)"
"(8, 9, 13)"
"(8, 10, 1)"
"(8, 10, 6)"
"(8, 10, 9)"
"(9, 9, 2)"
"(9, 9, 3)"
"(9, 9, 5)"
"(9, 9, 7)"
"(9, 9, 9)"
"(9, 10, 0)"
"(9, 10, 2)"
"(9, 10, 4)"
"(9, 10, 5)"
"(9, 10, 6)"
"(9, 10, 10)"
"(9, 10, 11)"
"(9, 11, 0)"
"(9, 11, 4)"
"(9, 11, 6)"
"(9, 11, 7)"
"(9, 11, 8)"
"(9, 12, 3)"
"(9, 12, 4)"
"(9, 12, 6)"
"(9, 12, 9)"
"(10, 10, 0)"
"(10, 10, 3)"
"(10, 10, 4)"
"(10, 10, 10)"
"(10, 10, 11)"
"(10, 11, 0)"
"(10, 11, 3)"
"(11, 11, 0)"
"(11, 11, 5)"
"(11, 11, 6)"
"(11, 12, 0)"
"(11, 12, 1)"
"(11, 12, 3)"
"(11, 12, 4)"
"(11, 12, 5)"
"(11, 12, 6)"
"(11, 12, 7)"
"(12, 12, 4)"
"(12, 12, 7)"
"(12, 12, 9)"
"(12, 12, 11)"
"(12, 13, 2)"
"(12, 13, 4)"
"(12, 13, 5)"
"(12, 13, 7)"
"(13, 14, 1)"
"(13, 14, 4)"
"(13, 14, 5)"
"(13, 14, 8)"
